"source_id","source_title","publisher","publication_date","url","accessed_date","metric_or_use","limitation"
"16","Statistics South Africa, *General Household Survey 2024 presentation*, 27 May 2025","Statistics South Africa","27 May 2025","https://www.statssa.gov.za/publications/P0318/GHS%202024%20Presentation%20v2.pdf","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"17","International Society of Aesthetic Plastic Surgery, *2025 International Survey on Aesthetic/Cosmetic Procedures Performed in 2024*, 19 June 2025","International Society of Aesthetic Plastic Surgery","19 June 2025","https://www.isaps.org/media/30xldsyf/isaps-global-survey-2024.pdf","2026-08-18","Adjacent aesthetic, skin, menopause and sports audience evidence","Selected studies or procedure estimates are not peptide-specific, may be non-representative and cannot be treated as unique buyers or revenue. Source note: Accessed 18 August 2026."
"18","Human Sciences Research Council CeSTII / DSTI, *South African National Survey of Research and Experimental Development: Statistical Report 2023/24*, 30 October 2025","Human Sciences Research Council CeSTII / DSTI","30 October 2025","https://hsrc.ac.za/wp-content/uploads/2025/10/RD_StatisticalReport2023-24_FINAL.pdf","2026-08-18","Institutional R&D capacity and named peptide-relevant research nodes","National R&D totals and institutional capabilities do not measure peptide procurement, order frequency, supplier share or obtainable revenue. Source note: Accessed 18 August 2026."
"19","Spotlight, *Blockbuster weight-loss and diabetes medicines sales surge despite cost barriers*, 4 February 2026","Spotlight","4 February 2026","https://www.spotlightnsp.co.za/2026/02/04/blockbuster-weight-loss-and-diabetes-medicines-sales-surge-despite-cost-barriers/","2026-08-18","Current private-sector access and price context for metabolic medicines","Reported point-in-time prices are not a formal price survey or evidence of willingness to pay, benefit coverage or continued supply. Source note: Accessed 18 August 2026."
"20","Spotlight, *Obesity medicines are needed in SA's public sector. Can our government provide them?*, 25 February 2026","Spotlight","25 February 2026","https://www.spotlightnsp.co.za/2026/02/25/obesity-medicines-are-needed-in-sas-the-public-sector-can-our-government-provide-them/","2026-08-18","Current private-sector access and price context for metabolic medicines","Reported point-in-time prices are not a formal price survey or evidence of willingness to pay, benefit coverage or continued supply. Source note: Accessed 18 August 2026."
"21","Diab et al., *Primary care and primary healthcare in obesity management*, South African Medical Journal, 2025","Diab et al.","2025","https://www.scielo.org.za/scielo.php?pid=S0256-95742025001400015&script=sci_arttext","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"22","HPCSA / SAFLII, *Ethical Rules of Conduct for Practitioners Registered under the Health Professions Act*, consolidated regulation","HPCSA / SAFLII","Current/undated","https://www.saflii.org/za/legis/consol_reg/erocfpruthpa1974803/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"23","Balraj et al., *Identifying legitimate websites selling medicines in South Africa*, Health SA Gesondheid, 12 November 2024","Balraj et al.","12 November 2024","https://pmc.ncbi.nlm.nih.gov/articles/PMC12242074/","2026-08-18","Digital discovery, normalized search behaviour and online-pharmacy verification","Google Trends is a normalized sampled index, while website studies are not market-size, sales or purchase-intent measures. Source note: Accessed 18 August 2026."
"24","Information Regulator South Africa, *Guidance Note on Direct Marketing in terms of POPIA*, 3 December 2024","Information Regulator South Africa","3 December 2024","https://inforegulator.org.za/wp-content/uploads/2020/07/GUIDANCE-NOTE-ON-DIRECT-MARKETING-IN-TERMS-OF-THE-PROTECTION-OF-PERSONAL-INFORMATION-ACT-4-OF-2013-POPIA.pdf","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"25","Republic of South Africa, *Protection of Personal Information Act 4 of 2013*, 26 November 2013","Republic of South Africa","26 November 2013","https://www.gov.za/sites/default/files/gcis_document/201409/3706726-11act4of2013protectionofpersonalinforcorrect.pdf","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"26","University of Pretoria, *Biotherapeutics*, current webpage","University of Pretoria","Current/undated","https://www.up.ac.za/biochemistry-genetics-and-microbiology/biotherapeutics","2026-08-18","Institutional R&D capacity and named peptide-relevant research nodes","National R&D totals and institutional capabilities do not measure peptide procurement, order frequency, supplier share or obtainable revenue. Source note: Accessed 18 August 2026."
"27","University of the Witwatersrand, *Medicinal and Peptide Chemistry*, current webpage","University of the Witwatersrand","Current/undated","https://www.wits.ac.za/chemistry/research/medicinal-and-peptide-chemistry/","2026-08-18","Institutional R&D capacity and named peptide-relevant research nodes","National R&D totals and institutional capabilities do not measure peptide procurement, order frequency, supplier share or obtainable revenue. Source note: Accessed 18 August 2026."
"28","University of Cape Town H3D, *Holistic Drug Discovery and Development Centre Service Brochure 2025*","University of Cape Town H3D","2025","https://h3d.uct.ac.za/sites/default/files/media/documents/h3d-service-brochure-2025.pdf","2026-08-18","Institutional R&D capacity and named peptide-relevant research nodes","National R&D totals and institutional capabilities do not measure peptide procurement, order frequency, supplier share or obtainable revenue. Source note: Accessed 18 August 2026."
"29","University of KwaZulu-Natal, *UKZN Unveils New State-of-the-Art Laboratories*, 26 March 2018","University of KwaZulu-Natal","26 March 2018","https://ukzn.ac.za/news/ukzn-unveils-new-state-of-the-art-laboratories/","2026-08-18","Institutional R&D capacity and named peptide-relevant research nodes","National R&D totals and institutional capabilities do not measure peptide procurement, order frequency, supplier share or obtainable revenue. Source note: Accessed 18 August 2026; historical uniqueness claim not revalidated."
"30","South African Health Products Regulatory Authority, *Pre-clinical Testing Guidelines and Clinical Requirements for Phase I / First in Human Studies*, 30 March 2026","South African Health Products Regulatory Authority","30 March 2026","https://www.sahpra.org.za/document/pre-clinical-testing-guidelines-and-clinical-requirements-for-phase-i-first-in-human-fih-studies/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"31","South African Health Products Regulatory Authority, *SA Good Clinical Practice Guidelines, Version 3*, 17 June 2020","South African Health Products Regulatory Authority","17 June 2020","https://www.sahpra.org.za/document/sa-gcp-guidelines/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"32","National Health Research Ethics Council / National Department of Health, *South African Ethics in Health Research Guidelines*, third edition, 2024","National Health Research Ethics Council / National Department of Health","2024","https://www.ufs.ac.za/docs/librariesprovider41/ethichs/chapter-1---research-in-ethics.pdf?sfvrsn=409ce820_1","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"33","Dlova et al., *Skin lightening practices: an epidemiological study of South African women of African and Indian ancestries*, British Journal of Dermatology, 2015","Dlova et al.","2015","https://pubmed.ncbi.nlm.nih.gov/26207658/","2026-08-18","Adjacent aesthetic, skin, menopause and sports audience evidence","Selected studies or procedure estimates are not peptide-specific, may be non-representative and cannot be treated as unique buyers or revenue. Source note: Accessed 18 August 2026."
"34","Government of South Africa, *Foodstuffs, Cosmetics and Disinfectants Act 54 of 1972*, as amended","Government of South Africa","Current/undated","https://www.gov.za/documents/foodstuffs-cosmetics-and-disinfectants-act-2-jun-1972-0000","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"35","Global Public Health, *Women's experiences of menopause: A qualitative study among women in Soweto, South Africa*, 2024","Global Public Health","2024","https://www.tandfonline.com/doi/full/10.1080/17441692.2024.2326013","2026-08-18","Adjacent aesthetic, skin, menopause and sports audience evidence","Selected studies or procedure estimates are not peptide-specific, may be non-representative and cannot be treated as unique buyers or revenue. Source note: Accessed 18 August 2026."
"36","Rabe, Crous and Marais, *Telehealth in South Africa: A guide for healthcare practitioners in primary care*, South African Family Practice, 2022","Rabe","2022","https://pmc.ncbi.nlm.nih.gov/articles/PMC9257714/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"37","South African Menopause Society, *Statement on Compounded (Bioidentical) Menopausal Hormone Therapy*, 18 October 2023","South African Menopause Society","18 October 2023","https://www.menopause.co.za/wp-content/uploads/2025/08/231020-FINAL-The-South-African-Menopause-Society-SAMS-Statement-on-Compounded-Bioidentical-Menopausal-Hormone-Therapy-18-October-2023.pdf","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"38","Viljoen et al., *Epidemiology, Clinical Characteristics, and Risk Factors for Running-Related Injuries among South African Trail Runners*, IJERPH, 30 November 2021","Viljoen et al.","30 November 2021","https://pmc.ncbi.nlm.nih.gov/articles/PMC8656810/","2026-08-18","Adjacent aesthetic, skin, menopause and sports audience evidence","Selected studies or procedure estimates are not peptide-specific, may be non-representative and cannot be treated as unique buyers or revenue. Source note: Accessed 18 August 2026."
"39","World Anti-Doping Agency, *The 2026 Prohibited List*, effective 1 January 2026","World Anti-Doping Agency","1 January 2026","https://www.wada-ama.org/en/prohibited-list","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"40","Western Cape Government Provincial Treasury, *2023 Socio-Economic Profile: George Municipality*, 2023","Western Cape Government Provincial Treasury","2023","https://www.westerncape.gov.za/treasury/files/wcg-blob-files?file=2025-03/george-municipality-sep-lg-2023.pdf&type=file","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
